data_hora,AnoCol,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q1_num,q1_ord,q1_sentimento,q2_cat,q3_num,q3_ord,q3_nivel,q4_texto,q5_texto,q6_num,q6_ord,q7_cat,q8_ord,q9_cat,q10_num,q10_ord,q11_cat,q12_cat,q13_num,q13_ord,q14_num,q14_ord,q15_num,q15_ord,q16_num,q16_ord,q17_num,q17_ord,q18_num,q18_ord,q19_texto,q20_texto
2025-09-03T14:29:11Z,2025,5,Acompanhamento do desempenho e frequência dos jovens,4,"Encaixar o PPE na área que ele mais tem afinidade, controle de demanda e falta de experiência dos mesmos","Orientação, acolhimento e empatia",5,Talvez,É fundamental,Acompanhamento por um profissional/colega ou servidor mais experiente,4,E-mail,Diariamente,3,5,4,3,4,4,Dialogo entre PPE e equipe.,Não,5,5,Positivo (4-5),Acompanhamento de desempenho e frequência,4,4,Alto desafio (4-5),"Encaixar o PPE na área que ele mais tem afinidade, controle de demanda e falta de experiência dos mesmos","Orientação, acolhimento e empatia",5,5,Não tenho certeza / Talvez,É fundamental,Acompanhamento por servidor mais experiente,4,4,E-mail exclusivo,Diariamente,3,3,5,5,4,4,3,3,4,4,4,4,Dialogo entre PPE e equipe.,Não
2025-09-03T15:10:00Z,2025,5,Orientação e supervisão direta das atividades dos jovens,5,Garantir a qualidade no aprendizado e auxiliar/orientar a inserção do jovem no mercado de trabalho e na capacitação profissional contínua.,"Troca de experiencias, comunicação/dialogo constante, busca continua do conhecimento e no desenvolvimento das habilidades e na contribuição para melhorias e objetivos da empresa.",5,Não,É fundamental,Acompanhamento por um profissional/colega ou servidor mais experiente,4,Whatsapp,Semanalmente,5,4,4,4,4,4,"Promover ações de interação, trocas de experiencias, treinamentos/qualificações, criando espaços de diálogo entre ponto focal e o PPE. Ampliar as parcerias com empresas que possam oferecer oportunidades ao programa 1º emprego.",NÃO,5,5,Positivo (4-5),Orientação e supervisão direta,5,5,Alto desafio (4-5),Garantir a qualidade no aprendizado e auxiliar/orientar a inserção do jovem no mercado de trabalho e na capacitação profissional contínua.,"Troca de experiencias, comunicação/dialogo constante, busca continua do conhecimento e no desenvolvimento das habilidades e na contribuição para melhorias e objetivos da empresa.",5,5,Não (Não possui),É fundamental,Acompanhamento por servidor mais experiente,4,4,WhatsApp exclusivo,Semanalmente,5,5,4,4,4,4,4,4,4,4,4,4,"Promover ações de interação, trocas de experiencias, treinamentos/qualificações, criando espaços de diálogo entre ponto focal e o PPE. Ampliar as parcerias com empresas que possam oferecer oportunidades ao programa 1º emprego.",NÃO
2025-09-03T16:43:38Z,2025,5,Orientação e supervisão direta das atividades dos jovens,4,"Formação de postura, desenvolvimento gradual e segurança para desempenho no ambiente.","Desenvolvimento do conhecimento do jovem aprendiz, facilitador  do desenvolvimento das atividades e segurança das ferramentas para aprendizagem.",5,Talvez,Contribui significativamente,Acompanhamento por um profissional/colega ou servidor mais experiente,5,E-mail,Diariamente,5,4,2,4,4,4,Tempo para seguir conhecendo e desempenho,NENHUMA,5,5,Positivo (4-5),Orientação e supervisão direta,4,4,Alto desafio (4-5),"Formação de postura, desenvolvimento gradual e segurança para desempenho no ambiente.","Desenvolvimento do conhecimento do jovem aprendiz, facilitador do desenvolvimento das atividades e segurança das ferramentas para aprendizagem.",5,5,Não tenho certeza / Talvez,Contribui significativamente,Acompanhamento por servidor mais experiente,5,5,E-mail exclusivo,Diariamente,5,5,4,4,2,2,4,4,4,4,4,4,Tempo para seguir conhecendo e desempenho,NENHUMA
2025-09-04T08:44:20Z,2025,4,Articulação entre gestão central do PPE e o orgão,5,"lidar com situações pessoais de cada beneficiário, distancia local moradia x local de trabalho, relação interpessoal entre beneficiário e profissionais locais, falta de etica profissional dos beneficiários",poder ajudar na inserção destes beneficiários no mercado de trabalho,5,Sim,Contribui significativamente,"Acesso a materiais institucionais (manuais, guias, outros)",4,E-mail,Mensalmente,3,4,5,3,2,3,"A plataforma AVA, segundo relatos dos PPE, têm conteudos repetitivos, cansativos. Sugestão: mudar a metodologia","Segundo relato dos PPEs, o acesso ao RH da FESF é limitado e confuso",4,4,Positivo (4-5),Outras atribuições,5,5,Alto desafio (4-5),"lidar com situações pessoais de cada beneficiário, distancia local moradia x local de trabalho, relação interpessoal entre beneficiário e profissionais locais, falta de etica profissional dos beneficiários",poder ajudar na inserção destes beneficiários no mercado de trabalho,5,5,Sim (Possui protocolos),Contribui significativamente,Múltiplas formas / Outras práticas,4,4,E-mail exclusivo,Quinzenalmente ou Mensalmente,3,3,4,4,5,5,3,3,2,2,3,3,"A plataforma AVA, segundo relatos dos PPE, têm conteudos repetitivos, cansativos. Sugestão: mudar a metodologia","Segundo relato dos PPEs, o acesso ao RH da FESF é limitado e confuso"
2025-09-04T09:55:08Z,2025,5,Acompanhamento do desempenho e frequência dos jovens,4,"Treinar os jovens para que se tornem bons profissionais, adequar escala com outros profissionais , estabelecer responsabilidade nos jovens, da sua função na área..","Compreensão em saber que estamos lidando com pessoas sem ou com pouca experiência, poder reconhecer nele uma possível mão-de-obra a ser aproveitada e acreditar que todos tem potencial.",5,Talvez,Contribui significativamente,Acompanhamento por um profissional/colega ou servidor mais experiente,5,Whatsapp,Semanalmente,2,4,3,2,4,5,Aquisição de um celular próprio para o programa.,"Acho que eles deveriam poder trabalhar em plantões, domingos e feriados.",5,5,Positivo (4-5),Acompanhamento de desempenho e frequência,4,4,Alto desafio (4-5),"Treinar os jovens para que se tornem bons profissionais, adequar escala com outros profissionais , estabelecer responsabilidade nos jovens, da sua função na área..","Compreensão em saber que estamos lidando com pessoas sem ou com pouca experiência, poder reconhecer nele uma possível mão-de-obra a ser aproveitada e acreditar que todos tem potencial.",5,5,Não tenho certeza / Talvez,Contribui significativamente,Acompanhamento por servidor mais experiente,5,5,WhatsApp exclusivo,Semanalmente,2,2,4,4,3,3,2,2,4,4,5,5,Aquisição de um celular próprio para o programa.,"Acho que eles deveriam poder trabalhar em plantões, domingos e feriados."
2025-09-04T10:21:13Z,2025,4,Orientação e supervisão direta das atividades dos jovens,4,Nada a relatar,Nada a relatar,4,Sim,É fundamental,Acompanhamento por um profissional/colega ou servidor mais experiente,4,Whatsapp,Semanalmente,4,4,2,3,4,4,O projeto fazer um acolhimento psicológico dos PPE,Não,4,4,Positivo (4-5),Orientação e supervisão direta,4,4,Alto desafio (4-5),Nada a relatar,Nada a relatar,4,4,Sim (Possui protocolos),É fundamental,Acompanhamento por servidor mais experiente,4,4,WhatsApp exclusivo,Semanalmente,4,4,4,4,2,2,3,3,4,4,4,4,O projeto fazer um acolhimento psicológico dos PPE,Não
2025-09-04T10:25:16Z,2025,5,Acompanhamento do desempenho e frequência dos jovens,5,"O lidar com pessoas que não tem a compreensão do ''ser profissional'', falta de comunicação por parte da FESF e o tempo de contrato.","Passagem de conhecimento, acolhimento e ponderação (como exPPE)",4,Sim,Contribui em alguma medida,Todas as opções acima,1,Whatsapp,Semanalmente,4,3,5,3,4,4,Diminuir quantidade de PPEs por monitores,"Repasse de transporte e atenção as demandas dos PPES, por vezes os colaboradores ficam sem resposta e apoio.",5,5,Positivo (4-5),Acompanhamento de desempenho e frequência,5,5,Alto desafio (4-5),"O lidar com pessoas que não tem a compreensão do ''ser profissional'', falta de comunicação por parte da FESF e o tempo de contrato.","Passagem de conhecimento, acolhimento e ponderação (como exPPE)",4,4,Sim (Possui protocolos),Contribui em alguma medida,Múltiplas formas / Outras práticas,1,1,WhatsApp exclusivo,Semanalmente,4,4,3,3,5,5,3,3,4,4,4,4,Diminuir quantidade de PPEs por monitores,"Repasse de transporte e atenção as demandas dos PPES, por vezes os colaboradores ficam sem resposta e apoio."
2025-09-04T10:45:21Z,2025,5,Acompanhamento do desempenho e frequência dos jovens,4,Ingerência sobre as substituições; Não ter datas de entrada definida; Falta de opção em escolha por formação especifica,Engajamento dos TE; Apoio e monitoramento do mediador e Projeto de melhoria,5,Sim,É fundamental,Participação em eventos de integração,5,Whatsapp,Diariamente,2,3,5,3,3,4,Quando da avaliação de desempenho insatisfatoria ter opção de substituição; Informação da FESF ao Ponto focal em situação de ferias (hoje somos informados pelo TE); Comunicar ao ponto focal as datas de chegada dos novos.,Demora na confecção dos crachás e atraso de benefícios,5,5,Positivo (4-5),Acompanhamento de desempenho e frequência,4,4,Alto desafio (4-5),Ingerência sobre as substituições; Não ter datas de entrada definida; Falta de opção em escolha por formação especifica,Engajamento dos TE; Apoio e monitoramento do mediador e Projeto de melhoria,5,5,Sim (Possui protocolos),É fundamental,Múltiplas formas / Outras práticas,5,5,WhatsApp exclusivo,Diariamente,2,2,3,3,5,5,3,3,3,3,4,4,Quando da avaliação de desempenho insatisfatoria ter opção de substituição; Informação da FESF ao Ponto focal em situação de ferias (hoje somos informados pelo TE); Comunicar ao ponto focal as datas de chegada dos novos.,Demora na confecção dos crachás e atraso de benefícios
2025-09-04T11:15:11Z,2025,5,Orientação e supervisão direta das atividades dos jovens,5,"falta de recursos e tempo, a necessidade de lidar com diferentes níveis de comunicação","centralização da comunicação e a responsabilidade pela gestão do conhecimento e processos dentro da  unidade,",5,Sim,Contribui significativamente,Acompanhamento por um profissional/colega ou servidor mais experiente,5,E-mail,Diariamente,5,5,5,5,5,5,treinamento especificos na área de atuação,não,5,5,Positivo (4-5),Orientação e supervisão direta,5,5,Alto desafio (4-5),"falta de recursos e tempo, a necessidade de lidar com diferentes níveis de comunicação","centralização da comunicação e a responsabilidade pela gestão do conhecimento e processos dentro da unidade,",5,5,Sim (Possui protocolos),Contribui significativamente,Acompanhamento por servidor mais experiente,5,5,E-mail exclusivo,Diariamente,5,5,5,5,5,5,5,5,5,5,5,5,treinamento especificos na área de atuação,não
2025-09-04T12:05:42Z,2025,5,Acompanhamento do desempenho e frequência dos jovens,4,Primeiro que não sei qual seria a atribuição de ponto focal e desconhecimento da proposta do programa e disponibilidade de tempo para acompanhar de forma mais efetiva,Boa relação interpessoal e integração no serviço,4,Talvez,Contribui significativamente,Acompanhamento por um profissional/colega ou servidor mais experiente,2,Tive um contato pessoal com a representante da FESF,Diariamente,3,5,2,4,5,5,"Melhor articulação do projeto com o serviço, expectativa e objetivos","Melhor articulação do projeto com o serviço, expectativa e objetivos",5,5,Positivo (4-5),Acompanhamento de desempenho e frequência,4,4,Alto desafio (4-5),Primeiro que não sei qual seria a atribuição de ponto focal e desconhecimento da proposta do programa e disponibilidade de tempo para acompanhar de forma mais efetiva,Boa relação interpessoal e integração no serviço,4,4,Não tenho certeza / Talvez,Contribui significativamente,Acompanhamento por servidor mais experiente,2,2,Outros canais,Diariamente,3,3,5,5,2,2,4,4,5,5,5,5,"Melhor articulação do projeto com o serviço, expectativa e objetivos","Melhor articulação do projeto com o serviço, expectativa e objetivos"
