Codigo,Enunciado_Original,Tipo,Bloco_Tematico
data_hora,Carimbo de data/hora,datetime,Metadados
AnoCol,Ano da coleta da pesquisa (extraído do carimbo de data/hora),nominal,Metadados
q1,"Em uma escala de 1 a 5, onde 1 é ""nada relevante"" e 5 é ""extremamente relevante"", quão relevante você considera o PPE na inserção de jovens no mundo do trabalho na Bahia?",ordinal_1_5,Bloco 1: Percepção Geral e Papel do Gestor
q2,Qual sua principal atribuição como Ponto Focal do PPE?,nominal,Bloco 1: Percepção Geral e Papel do Gestor
q3,"Em uma escala de 1 a 5, onde 1 é ""nada desafiador e 5 é ""extremamente desafiador"", avalie o nível geral de desafio do seu papel como ponto focal",ordinal_1_5,Bloco 1: Percepção Geral e Papel do Gestor
q4,"Em sua experiência, quais são os 3 principais desafios que você enfrenta como Ponto Focal?",textual,Bloco 1: Percepção Geral e Papel do Gestor
q5,E quais são as 3 principais facilidades ou melhores aspectos do seu papel como Ponto Focal?,textual,Bloco 1: Percepção Geral e Papel do Gestor
q6,"Em uma escala de 1 a 5, onde 1 é ""Muito insatisfatório"" e 5 é ""Muito satisfatório"", avalie o processo de acolhimento dos beneficiários/trabalhadores educandos do PPE? jovens no seu orgão/instituição",ordinal_1_5,Bloco 2: Acolhimento e Integração Organizacional
q7,O seu órgão possui protocolos ou diretrizes padronizadas para o acolhimento de novos beneficiários/trabalhadores educandos do PPE?,nominal,Bloco 2: Acolhimento e Integração Organizacional
q8,Em que medida você acredita que o processo de acolhimento contribui para a integração dos jovens na equipe de trabalho?,ordinal,Bloco 2: Acolhimento e Integração Organizacional
q9,De que forma o jovem é geralmente inserido na cultura organizacional do seu orgão?,nominal,Bloco 2: Acolhimento e Integração Organizacional
q10,"Em uma escala de 1 a 5, onde 1 é ""muito insatisfatório"" e 5 é ""muito satisfatório"", avalie a clareza e frequência da comunicação entre a entidade parceira do PPE, FLEM ou FESFSUS com você como Ponto Focal.",ordinal_1_5,Bloco 3: Comunicação e Supervisão de Desempenho
q11,"Quais canais de comunicação são mais frequentemente utilizados para contato entre você e a entidade parceira do PPE, FLEM ou FESFSUS",nominal,Bloco 3: Comunicação e Supervisão de Desempenho
q12,Com que frequência você acompanha o desempenho das atividades dos beneficiários/trabalhadores educandos em sua unidade? das atividades e do desempenho dos jovens em sua unidade?,ordinal,Bloco 3: Comunicação e Supervisão de Desempenho
q13,"Em uma escala de 1 a 5, onde 1 é ""nada desafiador"" e 5 é ""extremamente desafiador"", quão desafiador é obter informações sobre o desempenho e a permanência dos beneficiários/trabalhadores educandos no local de trabalho?",ordinal_1_5,Bloco 3: Comunicação e Supervisão de Desempenho
q14,"Os beneficiários/trabalhadores educandos do PPE são, em geral, proativos em suas atividades",ordinal_1_5,Bloco 4: Perfil Comportamental e Desempenho dos Jovens
q15,A imaturidade dos beneficiários/trabalhadores educandos é um desafio para o acompanhamento pelo ponto focal,ordinal_1_5,Bloco 4: Perfil Comportamental e Desempenho dos Jovens
q16,A maioria dos beneficiários/trabalhadores educandos do PPE tem clareza sobre seus objetivos profissionais,ordinal_1_5,Bloco 4: Perfil Comportamental e Desempenho dos Jovens
q17,Os jovens beneficiários/trabalhadores educandos do PPE se adaptam bem à cultura do serviço público,ordinal_1_5,Bloco 4: Perfil Comportamental e Desempenho dos Jovens
q18,Os beneficiários/trabalhadores educandos tem boa relação com os demais trabalhadores,ordinal_1_5,Bloco 4: Perfil Comportamental e Desempenho dos Jovens
q19,"Quais são suas principais sugestões para aprimorar o PPE, especialmente nas áreas de acolhimento, articulação, comunicação e acompanhamento?",textual,Bloco 5: Sugestões e Inconformidades Estruturais
q20,"Você identifica alguma ""inconformidade"" ou aspecto do PPE que precise de atenção urgente ou mudança estrutural? Se sim, por favor, descreva",textual,Bloco 5: Sugestões e Inconformidades Estruturais
